Surname,FirstName,Dates,Locality,Reel,Item,Remarks
ABBOT,John,21 Mar 1828-13 May 1834,"Emu Plains, Hunter River, Parramatta, Pennant Hills, Penrith, Pitt Town, Richmond, Windsor",3051,[2/1509.1],
ADAMS,Phillip Francis,26 Aug 1854-18 Dec 1855,"Bondi, Maitland, Newcastle",3051,[2/1509.2],
ARMSTRONG,John,"5 Oct 1841, 15 May 1848-31 Dec 1855","Bargo, Bindi, Burragorang, Burrowa, Camden, Crookwell, Goulburn, Mittagong, Picton, Rockley",3051,[2/1510],
ARMSTRONG,William,10 Jan 1851-31 Dec 1855,"Bowenfels, Mudgee, O’Connell Plains, Rylstone",3052,[2/1511.1],
ARNHEIM,E H,1 Jul 1854-31 Dec 1855,"Bombala, Cooma, Georges River, Nimmitabel",3052,[2/1511.2],
AUDLEY,George Edward,12 Jun 1852-22 Dec 1855,"Lachlan District, Woolloomooloo",3052,[2/1511.3],
BAGOT,Robert C,10 Jul 1849-20 Jun 1854,"Darling Downs, Maranoa District",3052,[2/1512.1],
BAYLY,Charles Arthur C,18 Oct 1847,,3052,[2/1512.2],
BENNETT,William C,1 May 1855-31 Dec 1855,"Appin, Campbelltown, Cataract River, Cordeaux River, Wollongong",3052,[2/1512.3],
BIRMINGHAM,Frederick W,7 Mar 1855-18 Dec 1855,"Longbottom, Parramatta",3052,[2/1513.1],
BRANSBY,Spencer L,"25 Jul 1853, 15 Apr 1854-24 Dec 1855","Bega, Eden, Moruya, Pambula",3052,[2/1513.2],
BROMFIELD,Percy,31 Oct 1849-1 May 1852,"Cassilis, Coolah, Dubbo, Merriwa, Muswellbrook, Manilla River, Namoi River, Tamworth",3053,[2/1514.1],
BROWNRIGG,W. Meadows,20 May 1841-29 Mar 1850,"Monaro District, Parramatta, Riley Estate, Surry Hills",3053,[2/1514.2],
BUCHANAN,James,20 Jul 1853-1 Aug 1855,Maryborough,3053,[2/1514.3],
BURKE,John,24 Nov 1841-29 Dec 1845,"Camden, Dapto, East Bargo, Huskisson, Jamberoo, Jervis Bay, Kiama, Wollongong",3053,[2/1514.4],
BURNETT,James Charles,"24 Sep 1832, 3 Mar 1834, 13 Oct 1835, 7 Oct 1837, 28 Mar 1838-3 Dec 1847","Brisbane, Clarence River, Dapto, Drayton, Ipswich, Jamberoo, Kiama, Peel River, Richmond River, Shoalhaven River, Tamworth, Ulladulla, Warwick, Wollongong,Wandandian",3054,[2/1515],
BURNETT,James Charles,1 Jan 1848-21 Jul 1854,"Brisbane, Clarence River, Dapto, Drayton, Ipswich, Jamberoo, Kiama, Peel River, Richmond River, Shoalhaven River, Tamworth, Ulladulla, Warwick, Wollongong,Wandandian",3055,[2/1516],
BURROWES,Edward Lewis Major,"27 June 1840-15 Jun 1842, 30 Apr 1848-2 Dec 1851","Clarence River, Dapto, Dungog, Gerringong, Kiama, Liverpool, Manning River, Merriwa, Parramatta, Scone, Sydney, Wollongong",3056,[2/1517],
BURROWES,Edward Lewis Major,10 Jan 1852-31 Dec 1855,"Clarence River, Dapto, Dungog, Gerringong, Kiama, Liverpool, Manning River, Merriwa, Parramatta, Scone, Sydney, Wollongong",3056,[2/1518],
BUTLER,Henry Cavendish Danvers,25 May 1831-30 Dec 1835,"Bathurst, Belubula River, Brisbane Water, Castle Hill, Colo River, Cullen Bullen, Cudjegong, Liverpool, Macdonald River, Mudgee, Parramatta, Pipers Flat,Sydney, Wellington, Windsor",3057,[2/1519],
BUTLER,Henry Cavendish Danvers,7Jan 1836-21 Jun 1838,"Bathurst, Belubula River, Brisbane Water, Castle Hill, Colo River, Cullen Bullen, Cudjegong, Liverpool, Macdonald River, Mudgee, Parramatta, Pipers Flat,Sydney, Wellington, Windsor",3057,[2/1520],
CAMPBELL,Patrick F,1 Sep 1827-29 Mar 1830,Wallis Plains,3057,[2/1521.1],
CARMICHAEL,Henry,4 Oct 1849-8 Oct 1855,"Aberdeen, Camberwell, Clarence, Dungog, Manning River, Merriwa, Murrurundi, Page River, Raymond Terrace, Seaham, Tinonee",3058,[2/1521.2],
CAVENAGH,Philip,17 Nov 1825,Hobart,3058,[2/1521.3],
CHARLTON,Horace,"Jul 1844, 31 Aug 1848-31 Dec 1851","Alnwick, Blackheath, Bowenfels, Colo River, Fish River, Hartley, Hassans Walls, Kanimbla Valley, Kurrajong, Lisdale, Maitland, Megalong Valley, Mt Victoria, Newcastle, Putty, St Albans, St Leonards, Wollombi",3058,[2/1522],
CHARLTON,Horace,17 Feb 1851-6 Dec 1855,"Alnwick, Blackheath, Bowenfels, Colo River, Fish River, Hartley, Hassans Walls, Kanimbla Valley, Kurrajong, Lisdale, Maitland, Megalong Valley, Mt Victoria,Newcastle, Putty, St Albans, St Leonards, Wollombi",3059,[2/1523],
COX,C B,14 Jun 1855-23 Oct 1855,"Bathurst, Orange, Wellington",3058,[2/1521.4],
CROUDACE,Henry,20 Mar 1852-5 Nov 1855,"Roads- Sydney – Illawarra, Sydney - Wollombi",3059,[2/1524],
DALGETY,Samuel G,"23 Jul 1838- 8 Nov 1843, 9 Aug 1845, 27 Mar 1848-25 Oct 1848, 9 Aug 1849, 7 Aug1850, 19 Sep 1851-13 Jan 1852","Brisbane Water, Cattai, Dural, Gosford, Hartley, Lane Cove, Lower Hawkesbury, Macdonald River, Mangrove Ck., Pittwater, St Albans, St Leonards",3059,[2/1525],
DANGAR,Henry,"28 Mar 1822-20 Aug 1824, 6 Jan 1826-13 Mar 1827, 9 Jul 1831, 7 Apr 1834, 5 Jun1843, 13 Jan 1848-22 Jul 1848, 5 Sep 1850-27 Sep 1851","Hunter River, Newcastle, Port Stephens",3060,[2/1526.1],
DARKE,William Wedge,"17 Feb 1836-6 Mar 1836, 20 Jan 1843-31 Dec 1850, 12 Feb 1853-18 Dec 1855","Bathurst, Clarence River, Grafton, Illawarra Road, Kempsey, Sydney, Tabulan",3060,[2/1527],
DAVIDSON,Walker R,"25 Apr 1833, 3 Jul 1833, 25 Aug 1835-19 Nov 1835, 14 Jul 1836, 9 Feb 1837-30 Dec 1839","Abercrombie Caves, Bathurst, Bogan River, Carcoar, Darling River, Hartley, Kelso, Molong, Mudgee, Orange, Rylstone, Wellington",3061,[2/1528],
DAVIDSON,Walker R,24 Jan 1840-26 Dec 1846,"Abercrombie Caves, Bathurst, Bogan River, Carcoar, Darling River, Hartley, Kelso, Molong, Mudgee, Orange, Rylstone, Wellington",3061,[2/1529],
DAVIDSON,Walker R,19 Jan 1847-31 Dec 1855,,3062,[2/1530.1],
DEBENHAM,John,18 Jul 1853-14 Dec 1855,"Aberdeen, Dartbrook, Denman, Murrurundi, Muswellbrook, Picton, Scone",3062,[2/1530.2],
DIXON,Arthur,22 Dec 1852-8 Aug 1853,"St Georges River, Road to the Illawarra",3062,[2/1531.1],
DIXON,Robert,"18 Oct 1827-15 Jan 1834, 25 Jan 1835-19 Jul 1836, 18 Sep 1838, 27 Apr 1840-26 Oct 1841, 25 Aug 1842, 24 Jul 1855","Bathurst, Bong Bong, Burragorang, Goulburn Plains, Hunter River, Moreton Bay, Muswelbrook, Pages River, Wollombi, Yass Plains",3063,[2/1531.2],
DOCKER,Robert N,"5 Mar 1829-18 Nov 1829, 1 Jul 1831","Murrumbidgee River, Yass",3063,[2/1532.1],
DRAKE,J C,"9 Nov 1850, 13 Aug 1852-Dec 1855","Eden - Monaro District, North Shore (Sydney)",3064,[2/1533.1],
DULHUNTY,Laurence V,"6 Jan 1830-19 Mar 1830, 28 Apr 1832-11 Jan 1837","Roads- Sydney – Wollombi, Sydney - Bathurst",3063,[2/1532.2],
DUMARESQ,Edward,"24 Dec 1825, 11 Jan 1826, 17 Feb 1827, 21 Apr 1827",Hobart,3064,[2/1533.2],
D’ARCY,Frederick R,"31 May 1830-8 Dec 1831, 12 Apr 1832, 6 Jun 1833-22 Aug 1835, 25 Jun 1836-14 Jul 1836,17 Dec 1845, 7 Aug 1847, 8 Mar 1849, 25 Aug 1851, 25 Oct 1852-29 Nov 1855","Bathurst, Bowenfels, Colo River, Dabee, Emu Plains, Hartley, Hay, Hawkesbury River, Port Macquarie, Wollemi",3060,[2/1526.2],
EDWARDS,John,"2 Apr 1830-2 Nov 1830, 19 Sep 1831-24 Jul 1834",Central Coast,3064,[2/1533.3],
ELLIOTT,Phillip,"24 Mar 1828-16 Apr 1838, 6 Oct 1840, 1 Oct 1841","Appin, Bargo, Bong Bong, Burragorang, Camden, Goulburn, Illawarra, Mt York, Mulgoa, Nattai River",3064,[2/1534],
FINCH,Heneage,"3 Feb 1826-9 Apr 1833, 12 Oct 1836-15 May 1839","Hunter River, New England, Port Macquarie, Sydney, Wollombi",3065,[2/1535.1],
FISHER,Edward,12 Oct 1854-31 Nov 1855,"Gundagai, Tumut, Wagga Wagga, Willoughby",3065,[2/1535.2],
FLIDE,Benjamin Charles,26 Mar 1850-31 Dec 1855,"Albury, Barraba, Liverpool Plains, Orange, Peel River, Sofala, Tambaroura, Tumut,Wagga Wagga, Wellington",3065,[2/1536.1],
FLORANCE,Thomas,12 Aug 1826-1 Oct 1844,"Coastal Surveys, (South and Central Coasts), Manning River, Newcastle, Port Stephens, Shoalhaven, St Georges Basin",3066,[2/1536.2],
GALLOWAY,John James,"8 Sep 1833, 7 Aug 1837-12 Nov 1842","Armidale, Bankstown, Campbelltown, Emu Plains, Liverpool, New England District, Parramatta, Pennant Hills, Port Hacking, Richmond, Sydney, Warialda, Wilton,Windsor",3066,[2/1537],
GALLOWAY,John James,6 Jan 1843-31 Dec 1850,"Armidale, Bankstown, Campbelltown, Emu Plains, Liverpool, New England District, Parramatta, Pennant Hills, Port Hacking, Richmond, Sydney, Warialda, Wilton, Windsor",3067,[2/1538],
GALLOWAY,John James,3 Feb 1851-1 Jan 1856,,3068,[2/1539.1],
GORDON,Lewis,"23 Oct 1838, 22 Feb 1839, 4 Apr 1840-18 Aug 1843, 29 Jan 1848-31 Dec 1855",Sydney,3068,[2/1539.2],
GORMAN,John V,25 May 1839-5 Jun 1854,"Armidale, Barwon River, Manning River, Namoi River, Peel River, Port Macquarie, Sydney, Tamworth",3069,[2/1540],
GOVETT,William R,31 Aug 1828-10 Jan 1834,"Appin, Berowra Creek, Blue Mountains, Cattai, Colo River, Lake Bathurst, Liverpool, Pittwater, Port Hacking",3069,[2/1541.1],
GREAVES,William Albert B,"9 Feb 1853, 8 Jan 1855-31 Dec 1855","Holsworthy, Manning River, Myall River, Port Hacking",3069,[2/1541.2],
GREEN,William Henry L.,12 Jan 1854-18 Dec 1854,"Braidwood, Clyde Road",3070,[2/1541.3],
HALL,John,23 Feb 1854-31 Dec 1855,"Burrill Creek, Manning River, Tinonee, Wingham",3070,[2/1542.1],
HARPER,William,27 Feb 1824,Argyle,3070,[2/1542.2],
HENDERSON,Peter Heron,3 Jul 1849-31 Dec 1855,New England,3070,[2/1542.3],
HODDLE,Robert,24 Jan 1824-12 Dec 1833,"Bathurst, Berrima, Bungonia, Camden, Campbelltown, Deva/Moruya River, Goulburn,Gundaroo, Illawarra, Kurrajong, Lake George, Marulan, Mittagong, Molonglo, Shoalhaven River, Yass",3070,[2/1544],
HODDLE,Robert,"1 Jan 1834-17 Feb 1837, 23 Aug 1838, 21 Jan 1847","Bathurst, Berrima, Bungonia, Camden, Campbelltown, Deva/Moruya River, Goulburn, Gundaroo, Illawarra, Kurrajong, Lake George, Marulan, Mittagong, Molonglo, Shoalhaven River, Yass",3071,[2/1545],
HODGKINSON,Clement,13 Jan 1840-2 May 1842,"Bellingen River, Macleay River, Nambucca River, Trial Bay",3070,[2/1543],
JACQUES,William,"5 Nov 1830, 7 Feb 1834","Appin, Bong Bong, Illawarra, Kiama, Wollongong",3071,[2/1546.1],
KEMP,David Malcolm,6 Sep 1838,,3071,[2/1546.2],
KENNEDY,Edmund B C,3 Aug 1840-8 Dec 1838,,3071,[2/1546.3],
KENTISH,N L,12 Jan 1831-7 Nov 1845,"Campbelltown, Emu Plains, Windsor",3071,[2/1546.4],
KNAPP,Edward,1 Aug 1828-8 Nov 1855,"Dapto, Illawarra, Pitt Town, Sydney, Willoughby",3072,[2/1546.5],
LABATT,Hugh R,24 Feb 1842-30 Dec 1853,"Appin, Berrima, Brisbane, Maryborough, Mt Victoria, Picton, Richmond",3072,[2/1547],
LAMBIE,John,29 Dec 1829-19 Dec 1836,"Berrima, Bong Bong, Myrtle Creek, Razor Back",3072,[2/1548],
LARMER,James,30 Jan 1830-22 Dec 1836,"County of Cumberland, Bennalong, Berrima, Boro Creek, Braidwood, Bungendore, Bungonia, Goulburn, Narrabeen, Pitt Water, Queanbeyan",3073,[2/1549],
LARMER,James,4 Jan 1837-10 Nov 1840,"Bennalong, Berrima, Boro Creek, Braidwood, Bungendore, Bungonia, Goulburn, Narrabeen, Pitt Water, Queanbeyan",3073,[2/1550],
LARMER,James,15 Jan 1841-21 Dec 1846,"Bennalong, Berrima, Boro Creek, Braidwood, Bungendore, Bungonia, Goulburn, Narrabeen, Pitt Water, Queanbeyan",3074,[2/1551],
LARMER,James,4 Jan 1847-28 Sep 1855,"Bennalong, Berrima, Boro Creek, Braidwood, Bungendore, Bungonia, Goulburn, Narrabeen, Pitt Water, Queanbeyan",3074,[2/1552.1],
LEGG,George,1 Sep 1853-22 Dec 1855,"Bondi, Campbelltown, Nowra, Shoalhaven, Wollongong",3075,[2/1552.2],
LEWIS,Mortimer William,19 Jul 1830-31 Dec 1834,"Darling Harbour, Millers Point, Mudgee, Rushcutters Bay, Surry Hills",3075,[2/1553.1],
LEWIS,Mortimer William (Jnr),24 July 1844,,3075,[2/1553.2],
LINDO,Andre Pacifico,17 Aug 1850-1 Dec 1855,"Brisbane, Ipswich",3075,[2/1553.3],
MACCABE,Francis P,6 Dec 1841-Dec 1848,"Berrima, Braidwood, Cooma, Gladstone, Gundagai, Lachlan River, Lower Darling, Port Curtis",3075,[2/1554.1],
MACCABE,Francis P,15 Jan 1849-31 Dec 1852,"Berrima, Braidwood, Cooma, Gladstone, Gundagai, Lachlan River, Lower Darling, Port Curtis",3076,[2/1554.2],
MACCABE,Francis P,"3 Jan 1853, 31 Dec 1855","Berrima, Braidwood, Cooma, Gladstone, Gundagai, Lachlan River, Lower Darling, Port Curtis",3076,[2/1555.1],
MACKAY,T,24 Oct 1854-Dec 1855,"Newcastle, Singleton",3077,[2/1555.2],
MANN,John F,15 Apr 1848-1 Jan 1853,"Bungonia, Goulburn, Queanbeyan, Shoalhaven, Yass",3077,[2/1556],
MANN,John F,10 Jan 1853-24 Dec 1855,"Bungonia, Goulburn, Queanbeyan, Shoalhaven, Yass",3078,[2/1557],
MATTHEWS,Felton,21 Jan 1830-26 Dec 1832,"Kurrajong, Pennant Hills, Windsor",3078,[2/1558A],
MATTHEWS,Felton,14 Jan 1833-28 Dec 1833,"Kurrajong, Pennant Hills, Windsor",3079,[2/1558B],
MATTHEWS,Felton,6 Jan 1834-28 Jul 1837,"Kurrajong, Pennant Hills, Windsor",3079,[2/1559],
MCBRIEN,James,"2 Apr 1823, 4 Jan 1825","Bathurst, Parramatta",3077,[2/1555.3],
MEEHAN,James,22 Aug 1823-21 Aug 1824,Macquarie Fields,3079,[2/1560.1],
MITCHELL,Roderick,18 Oct 1841- 1 Sep 1843,"CooksRiver, Patrick Plains",3079,[2/1560.2],
MOFFATT,William P,28 Feb 1854-26 Jun 1854,Sydney,3079,[2/1560.3],
MORIARTY,Edward O,12 Apr 1849-11 Nov 1853,"Drayton, Warwick",3080,[2/1560.4],
NEILL,J L,21 Jun 1855-31 Nov 1855,Sydney,3080,[2/1561.1],
NICHOLSON,John,2 Jan 1830-25 Jul 1831,"Parramatta, Sydney, Bathurst, Mt Clarence",3080,[2/1561.2],
NICHOLSON,John,14 Feb 1832-22 Dec 1834,"Parramatta, Sydney, Bathurst, Mt Clarence",3080,[2/1562],
NICHOLSON,John,5 Jan 1835-20 Apr 1837,"Newcastle, Bathurst, Mudgee",3081,[2/1563],
NICHOLSON,John,31 Mar 1848-6 Nov 1851,Bathurst,3081,[2/1564],
NICHOLSON,John,3 Jan 1852-1 Oct 1853,"Mt Clarence, Mudgee, Newcastle, Orange, Wellington",3082,[2/1565A],
NICHOLSON,John,14 Jan 1854-31 Dec 1855,"Mt Clarence, Mudgee, Newcastle, Orange, Wellington",3082,[2/1565B],
NUTT,Thomas Henry,12 Jul 1839-6 Jan 1852,Yarra Yarra,3082,[2/1566.1],
OGILVIE,Peter Grant,26 Feb 1829-5 Oct 1836,"Boro, Cullen Bullen, Maitland, Manning River, Mudgee, North Shore (Sydney), Wellington",3082,[2/1566.2],
OGILVIE,Peter Grant,31 Jan 1837-10 May 1841,"Boro, Cullen Bullen, Maitland, Manning River, Mudgee, North Shore (Sydney), Wellington",3083,[2/1567],
PARKINSON,Sam,20 Nov 1847-31 Dec 1855,"Bega, Bombala, Cooma, Deniliquin, Gundagai",3083,[2/1568.1],
PEPPERCORNE,F S,3 Oct 1853-31 Nov 1855,"Casino, Richmond River",3083,[2/1568.2],
RALFE,James,31 Jan 1826-25 Nov 1834,"Muswellbrook, Port Macquarie, Port Stephens, Saint Hellier, Tuggerah",3084,[2/1569A],
RALFE,James,1 Feb 1835- 26 Dec 1837,"Muswellbrook, Port Macquarie, Port Stephens, Saint Hellier, Tuggerah",3084,[2/1569B],
RALFE,James,1 Jan 1838-1 Dec 1843,"Muswellbrook, Port Macquarie, Port Stephens, Saint Hellier, Tuggerah",3084,[2/1570A],
RALFE,James,15 March1853-31 Dec 1855,"Muswellbrook, Port Macquarie, Port Stephens, Saint Hellier, Tuggerah",3085,[2/1570B],
RAPER,Felix V,26 Aug 1854,Carcoar,3085,[2/1571.1],
RAPER,Felix V,20 Jan 1855-Dec 1855,,3085,[2/1571.2],
RAWNSLEY,Henry Charles,13 Dec 1841-17 May 1854,Sydney-City,3085,[2/1571.3],
RICHARDS,J B,17 Jan 1831-13 May 1834,"Bathurst, Bilpin, Kurrajong, Parramatta, Windsor",3086,[2/1573A],
RICHARDS,J B,27 Apr 1836-28 Sept 1837,"Bathurst, Bilpin, Kurrajong, Parramatta, Windsor",3086,[2/1573B],
RICHARDS,James B,21 Jul 1824-31 Dec 1830,"Bathurst, Bilpin, Kurrajong, Parramatta, Windsor",3085,[2/1572],
ROBERTS,William,4 May 1853-26 Dec 1855,"Brisbane, Gosford, Moreton Bay",3086,[2/1574.1],
RODD,John,12 Jun 1826,,3086,[2/1574.2],
ROGERS,John,7 Feb 1829-30 Dec 1853,"Goulburn, Molong, Newcastle, Ravensworth, Wolombi",3087,[2/1574.3],
ROGERS,John,31 Dec 1853-24 Dec 1855,"Goulburn, Molong, Newcastle, Ravensworth, Wolombi",3087,[2/1575.1],
RUSDEN,Francis Townsend,1 Feb 1831-4 Dec 1837,"Blue Mountains, Bolong, Hunters River",3087,[2/1575.2],
RUSDEN,Francis Townsend,2 Jan 1838-221 Jun 1843,"Blue Mountains, Bolong, Hunters River",3088,[2/1576],
RUSSELL,Robert,23 Nov 1833-31 Dec 1835,Sydney Town,3088,[2/1577A],
RUSSELL,Robert,2 Jan 1836-14 Sept 1848,Sydney Town,3088,[2/1577B],
SHONE,William,14 Dec 1841-29 Dec 1848,"Clarence River, Cordeaux River, Gosford, Great South Road, Illawarra, Lake Macquarie, Liverpool, Mangrove Creek, North Shore (Sydney), Parramatta, Richmond, Sydney",3089,[2/1578A],
SHONE,William,"6 Jan 1849- 4 Feb 1852, 23 Feb 1854-31 Dec 1855, 8 Jul 1847, 28 Jul 1847","Clarence River, Cordeaux River, Gosford, Great South Road, Illawarra, Lake Macquarie, Liverpool, Mangrove Creek, North Shore (Sydney), Parramatta, Richmond, Sydney",3089,[2/1578B],
SIMPSON,John McNeil,2 Dec 1854,,3089,[2/1579.1],
SIMPSON,Percy,"2 Apr 1828, Feb 1830-15 Nov 1830, 16 Apr 1832-6 Dec 1833","Lower Portland Head, Parramatta Depot",3090,[2/1579.2],
SIMPSON,Percy,2 Jan 1834-28 Dec 1835,"Lower Portland Head, Parramatta Depot",3090,[2/1580],
SIMPSON,Percy,"6 Jan 1836-26 Mar 1839, 21 Mar 1842","Lower Portland Head, Parramatta Depot",3091,[2/1581],
STAPYLTON,Granville Chetwynd,4 Jan 1830-20 Jun 1840,"Abercrombie River, Bathurst, Bilpin, Coogee, Crookwell River, Kiama, Kurrajong, Moreton Bay, Mount Lindsay, Murrumbidgee River, Nelson Bay, Yass",3091,[2/1582A],
TOWNSEND,Thomas Scott,"25 Mar 1831- 3 Nov 1831, 29 Jan 1834-26 Dec 1837","Albury, Crookwell River, Deniliquin, Eden, Goulburn, Gunning, Melbourne, Murrumbidgee District, N.S.W. – Victoria boundary Pambula, Snowy Mountains, Sydney, Tumut, Wagga, Yass",3091,[2/1582B],
TOWNSEND,Thomas Scott,1 Jan 1838- 8 Dec 1842,"Albury, Crookwell River, Deniliquin, Eden, Goulburn, Gunning, Melbourne, Murrumbidgee District, N.S.W. – Victoria boundary, Pambula, Snowy Mountains, Sydney,Tumut, Wagga, Yass",3092,[2/1583A],
TOWNSEND,Thomas Scott,2 Feb 1843-31 Dec 1848,"Albury, Crookwell River, Deniliquin, Eden, Goulburn, Gunning, Melbourne, Murrumbidgee District, N.S.W. – Victoria boundary, Pambula, Snowy Mountains, Sydney,Tumut, Wagga, Yass",3092,[2/1583B],
TOWNSEND,Thomas Scott,5 Feb 1849-7 Jul 1854,"Albury, Crookwell River, Deniliquin, Eden, Goulburn, Gunning, Melbourne, Murrumbidgee District, N.S.W. – Victoria boundary, Pambula, Snowy Mountains, Sydney,Tumut, Wagga, Yass",3093,[2/1584A],
TRESS,William J,11 May 1855-31 Dec 1855,Bathurst,3093,[2/1584B],
TYERS,Charles I,16 Oct 1841,Portland Bay,3093,[2/1585.1],
WADE,Henry,"15 Dec 1841- 2 Dec 1844, 9 Jan 1846-11 Oct 1847",Moreton Bay,3093,[2/1585.2],
WARNER,James,17 Jan 1839-26 Dec 1848,Moreton Bay,3094,[2/1586],
WARNER,James,22 Jan 1849-15 Dec 1856,Moreton Bay,3094,[2/1587A],
WEDGE,Charles,29 Dec 1840,Port Phillip,3095,[2/1588.1],
WEEVER,Thomas,20 Oct 1853-31 Dec 1855,"Braidwood, Bungendore, Murrumbidgee River, Parramatta, Queanbeyan, Shoalhaven River",3095,[2/1587B],
WHITAKER,Charles Sheppard,15 Jul 1839-15 Dec 1855,Richmond,3098,[2/1594.2],
WHITE,George Boyle,10 Mar 1826-26 Dec 1833,"Hunter River, Macquarie River, Maitland, Newcastle, Paterson River, Raymond Terrace, Richmond, Seaham, Toongabbie, Williams River",3095,[2/1588.2],
WHITE,George Boyle,5 Jan 1834-31 Dec 1836,"Hunter River, Macquarie River, Maitland, Newcastle, Paterson River, Raymond Terrace, Richmond, Seaham, Toongabbie, Williams River",3095,[2/1589],
WHITE,George Boyle,1 Jan 1837- 8 Dec 1839,"Hunter River, Macquarie River, Maitland, Newcastle, Paterson River, Raymond Terrace, Richmond, Seaham, Toongabbie, Williams River",3096,[2/1590A],
WHITE,George Boyle,1 Jan 1840-19 Dec 1842,"Hunter River, Macquarie River, Maitland, Newcastle, Paterson River, Raymond Terrace, Richmond, Seaham, Toongabbie, Williams River",3096,[2/1590B],
WHITE,George Boyle,13 Jan 1843-31 Dec 1846,"Hunter River, Macquarie River, Maitland, Newcastle, Paterson River, Raymond Terrace, Richmond, Seaham, Toongabbie, Williams River",3096,[2/1591A],
WHITE,George Boyle,5 Jan 1847-20 Dec 1854,"Hunter River, Macquarie River, Maitland, Newcastle, Paterson River, Raymond Terrace, Richmond, Seaham, Toongabbie, Williams River",3097,[2/1591B],
WHITE,Henry F,31 Dec 1829-4 Dec 1835,"Lord Howe Island, Port Macquarie, Sydney, Windsor",3097,[2/1592],
WHITE,Henry F,7 Jan 1836-26 Jun 1839,"Lord Howe Island, Port Macquarie, Sydney, Windsor",3097,[2/1593],
WHITE,Thomas,15 Jan 1842-23 Jul 1842,Clarence River,3098,[2/1594.1],
WILLIAMS,H A,2 Dec 1853+28Dec 1853,Bellevue,3098,[2/1594.3],
WILSON,C Moore,15 Jul 1841-31 Jan 1844,Clarence River,3098,[2/1595.1],
WILSON,W.C.B.,8 Jan 1840-31 Dec 1855,"Clarence River, Grafton",3098,[2/1595.2],
WOOD,Arthur F,12 May 1853-31 Dec 1855,"Jamberoo, Kiama, Shoalhaven",3098,[2/1595.3],
WOOLRYCH,Francis B W,31 Jul 1855-31 Dec 1855,"Binalong, Lachlan District",3098,[2/1596.1],
WRIGHT,Henry W,11 Dec 1838- 9 Jun 1843,Murrumbidgee River,3098,[2/1596.2],
ZOUCH,Arthur,30 Apr 1855-30 Dec 1855,Yass,3098,[2/1596.3],
